Trial,N,Time,Flops,Performance
1,5,0.000001,0.000225,225.000000
2,5,0.000000,0.000225,inf
3,5,0.000001,0.000225,225.000000
1,25,0.000094,0.030625,325.797872
2,25,0.000089,0.030625,344.101124
3,25,0.000086,0.030625,356.104651
1,50,0.000640,0.247500,386.718750
2,50,0.000621,0.247500,398.550725
3,50,0.000575,0.247500,430.434783
1,100,0.004889,1.990000,407.036204
2,100,0.004549,1.990000,437.458782
3,100,0.004389,1.990000,453.406243
1,200,0.030792,15.960000,518.316446
2,200,0.027722,15.960000,575.716038
3,200,0.027876,15.960000,572.535514
1,300,0.094870,53.910000,568.251291
2,300,0.094130,53.910000,572.718581
3,300,0.094361,53.910000,571.316540
1,400,0.220240,127.840000,580.457683
2,400,0.219624,127.840000,582.085747
3,400,0.219567,127.840000,582.236857
1,500,0.435186,249.750000,573.892542
2,500,0.431771,249.750000,578.431622
3,500,0.435839,249.750000,573.032702
1,600,0.756997,431.640000,570.200410
2,600,0.760052,431.640000,567.908512
3,600,0.754000,431.640000,572.466844
1,700,1.210932,685.510000,566.101152
2,700,1.208043,685.510000,567.454966
3,700,1.198557,685.510000,571.946099
1,800,1.826782,1023.360000,560.198206
2,800,1.860901,1023.360000,549.927159
3,800,1.782115,1023.360000,574.239036
1,900,2.516834,1457.190000,578.977398
2,900,2.523648,1457.190000,577.414124
3,900,2.513758,1457.190000,579.685873
1,1000,3.544682,1999.000000,563.943395
2,1000,3.582480,1999.000000,557.993345
3,1000,3.503278,1999.000000,570.608442
